bandId,"bandName"
1,"THE VHV"
2,"Heavy Pockets"
3,"Roz"
4,"Luke Domozick"
5,"Daniels Street"
6,"Hakim Law"
7,"Heavy Sleepers"
8,"Saccharine"
9,"Conor Cary"
10,"Half Lit Smile"
11,"Sam Cohen and Josh Kaufman"
12,"Lunch Cult"
13,"The Victor Wooten Trio"
14,"Scotty Pope"
15,"Cousin Bobby"
16,"Henri Smith"
17,"CUTOUT"
18,"SAUCE Boston"
19,"12th Planet"
20,"Dan Pappas"
21,"The Vinegar Flies"
22,"Daniela Schachter Trio"
23,"Mack The Magnificent"
24,"Dare Devil Hearts"
25,"Heroes"
26,"Henry Godfrey"
27,"Screaming Headless Torsos"
28,"13 O?��Clock Blues Band"
29,"Dave Wells And The Triple D?��s"
30,"Darn Coyotes"
31,"Set Fire"
32,"Macabre"
33,"Dead Heat"
34,"The Water Cycle"
35,"HongLi Peng"
36,"Henry Mansfield"
37,"3rd Left"
38,"Hope Is the Hardest Love We Carry"
39,"Deep Secret"
40,"Sean Rowe"
41,"Shug"
42,"The Whiskey Geese"
43,"Massachusetts Youth Wind Ensemble"
44,"Albino Mbie-Mozambique"
45,"Tony Vento"
46,"4 Piece Suit Band"
47,"Dave and The Shades"
48,"HOUSBOI"
49,"Houston Bernard Band"
50,"Madeleine & Salomon"
51,"Different Strokes"
52,"Sean Staples"
53,"DigiTour Winter"
54,"93 North"
55,"Huxley Rittman & The Rusty Hitmen"
56,"Snax"
57,"Illusion's End"
58,"Immortal War"
59,"Dave Foley"
60,"DJ Bob Downey"
61,"The White Buffalo"
62,"Indiana Heights"
63,"Michelle Currie"
64,"DJ Easy Ed"
65,"Hey Zeus"
66,"Seaway"
67,"A Bunch of Jerks"
68,"The White Owls"
69,"High 5 Swan Dive"
70,"Mike DiBari"
71,"A Fathom Farewell"
72,"DJ Ilmadic"
73,"Separated"
74,"The Wolff Sisters"
75,"Andy Lantz"
76,"Dave Westner"
77,"Andy Voelker"
78,"High Command"
79,"SPC"
80,"Session Americana"
81,"Antoinette Perry"
82,"The Wolff Sisters & the Last Cavalry"
83,"Jason Smith"
84,"David Arteaga Quartet"
85,"Tufts Flute Ensemble"
86,"Makeout"
87,"Tufts Jazz Orchestra"
88,"A Hip Hop Nutcracker"
89,"Jazz Urbane Presents"
90,"The Womps"
91,"Athena Sunset Kings"
92,"David Broza & Friends"
93,"Mr. Fox"
94,"Domingos Latinos [DJ]"
95,"Mally Smith"
96,"JEN KEARNEY"
97,"Urgent Detergent"
98,"A Wilhelm Scream"
99,"Na B"
100,"theband Vu��"
101,"Sterl Da Perl"
102,"David Dondero"
103,"Jessica Sprague"
104,"Mammoth Grinder"
105,"Baabes"
106,"DUB DOWN"
107,"Barrence Whitfield and The Messengers"
108,"New Auras"
109,"Eggy and the California Flowers"
110,"Bela Sarkozy"
111,"No Muzzle"
112,"Virtual Riot"
113,"Sun-E"
114,"Jobi Riccio & Liv Greene"
115,"Berklee Original Band Showcase"
116,"Joe Bellomo Quartet"
117,"Joe Hunt Group"
118,"Joe Kessler"
119,"BIG BEAR"
120,"Supershag"
121,"Susan Putnins"
122,"Tall Heights"
123,"Eula Lawrence"
124,"Tea With The Dame"
125,"Birthday Ass"
126,"Wooden Planks"
127,"Fandango"
128,"Pentatonix"
129,"Perfect Example Show Band"
130,"Blueprints"
131,"Tetraptych"
132,"Fernando Huergo Trio"
133,"Thaddeus Hogarth and John Baboian"
134,"FiDEL"
135,"Yma Arrington"
136,"Brad Faucher"
137,"Francesca Crowley"
138,"Porch Trio"
139,"Kim Cherry"
140,"Kind Crew"
141,"King Inc"
142,"Kiniwe"
143,"Klen?�ngan Nujukarsa"
144,"The Color Purple"
145,"Pylons Davis"
146,"Fuming Mouth"
147,"Randy Deshaies"
148,"Larry Baiome"
149,"Retrowave"
150,"The Frank Wilkins Trio"
151,"The Globies"
152,"Cecile McLorin Salvant"
153,"Rod Ferguson"
154,"The Library Band & Friends"
155,"Charles Delta"
156,"Chelsea Whitaker"
157,"Cheng Cheng"
158,"The Loudclappers"
159,"The Matrixx"
160,"City Rivals"
161,"Club Cubanos"
162,"Lost Lake"
163,"Roy Sludge"
164,"Groton School Jazz Band"
165,"Ruby Rose Fox"
166,"GTA"
167,"Gus G."
168,"RUSSELL MALONE"
169,"Ryan Alvanos"
170,"Gypsy Jazz Duo & Friends"
171,"Ryan Kinder"
172,"Compaq Big Band"
173,"Ryan McHugh & Mia Boostrom"
174,"Ryan Montbleau"
175,"Conan"
176,"Haley Peltz"
177,"Concrete Constellations"
178,"Half Hearted Hero"
179,"Conor Ryan Hennesey"
180,"Hammydown"
181,"Sam Gelston"
182,"Consider the Source"
183,"The Only Humans"
184,"Converge"
185,"Sam Reid & the Riot Act"
186,"Copilot"
187,"Samantha Fish"
188,"The Palmer Squares"
189,"Sammy Adams"
190,"Coralcola"
191,"Corey Balsamo"
192,"Sammy Wilk"
193,"The Pinkerton Thugs"
194,"Corporate Punk"
195,"Sarah B"
196,"The Pop Disaster"
197,"The Regrettes"
198,"Cracker"
199,"The Richard Lloyd Group"
200,"Cris Jacobs"
201,"THE ROOTS"
202,"Crooked Devils"
203,"The Rupert Selection"
204,"Crunchtime"
205,"HANA KAHN"
206,"The Score"
207,"Cryptodira"
208,"Sarah Blacker"
209,"The Shondes"
210,"Hank Wonder"
211,"Cub Sport"
212,"Sarah Kilborne"
213,"The Sibs"
214,"Sarma Brass Band"
215,"The Silks"
216,"Harsh Armadillo"
217,"Daedelus"
218,"The Slum Raisins"
219,"Daisybones"
220,"Harvey Garbage"
221,"The Social No. 11"
222,"Scale the Summit"
223,"The SpaceCadets"
224,"Hawthorn"
225,"Scalpel"
226,"Dalton & The Sheriffs"
227,"Louie Fontaine"
228,"The Stampede"
229,"Scanners"
230,"Dan & The Wildfire's"
231,"Hawthorn Duo"
232,"68"
233,"The Stolen"
234,"Scape Ent"
235,"Head North"
236,"Dan Byrnes Band"
237,"Louise Mosrie"
238,"The Susan Constant"
239,"Heart Attack Man"
240,"Scooby Snax"
241,"DUKE LEVINE"
242,"Lucy Kaplansky"
243,"The Unoriginals"
244,"The Luxury"
245,"Heather Maloney"
246,"Luddy Mussy"
247,"SCOTCH BONNET BAND"
248,"$UICIDEBOY$"
249,"The Van Burens"
250,"Danielle Miraglia & The Glory Junkies"
251,"Luis Garcia"
252,"Give"
253,"Trusty Sidekick"
254,"Robinson & Rohe"
255,"Joon"
256,"Celtic Clan"
257,"The Jacob Jolliff Band"
258,"Drab Majesty"
259,"Crowfeeder"
260,"Gizzards"
261,"Stippling"
262,"Rolo Tomassi"
263,"Justin Beech"
264,"The Jake Manzi Band"
265,"Channel 3"
266,"Glacier"
267,"Dave Foley Band"
268,"Denis Leary - Why We Don't Suck Book Tour"
269,"Life Before Insanity"
270,"Dessa"
271,"The Knock Ups"
272,"Billy Joel"
273,"Gladshot"
274,"Judd Apatow"
275,"Cesni Trio and Dolunay"
276,"DJ Case"
277,"An Evening With Hot Tuna"
278,"The Stone Foxes, Big Jon and the Mattress Factory,"
279,"Rata Blanca"
280,"Lil Uzi"
281,"Skylar Spence"
282,"The Last Bandoleros"
283,"Lee Scratch Perry"
284,"Ron Poster"
285,"One Time Mountain"
286,"Worriers, Thin Lips, Katie Ellen, DUMP HIM"
287,"Gleb Samoyloff"
288,"Cha Feliz"
289,"Letters From The Fire"
290,"Mark Femino Live on the Patio"
291,"Lily Massie"
292,"Swingin Utters"
293,"Ashley All Day"
294,"Gleemer"
295,"The Offramps"
296,"Roni Size"
297,"Dezi"
298,"Chantal Joseph"
299,"The Lights Out"
300,"Glenn Yoder & the Western States"
301,"Hayley Jane and The Primates (Album Release) w/ So"
302,"Lilypad Jazz Jam"
303,"Mirth"
304,"City Winery Presents: Mason Jennings Band w/ opene"
305,"Lil Yachty"
306,"The Lords of Liechtenstein"
307,"Glowkids"
308,"Artist In Residence: The Few Abide"
309,"Birthing Hips"
310,"Lisa Bastoni"
311,"Opia"
312,"Hot Mess"
313,"The Lost Collective"
314,"Fiona Corrine - Live music from 1- 3:30 PM during "
315,"Gnomedad"
316,"Caustic Casanova"
317,"Lisa/Liza"
318,"Ryan Pinette Live on the Patio"
319,"Ronin Quinn"
320,"New Kids On The Block"
321,"Cheryl Wheeler"
322,"Frank Ryan"
323,"Lithic"
324,"Choke Up"
325,"Zeoh"
326,"LiveWireBoston"
327,"Jeff Rosen"
328,"THE MIGHTY MIGHTY BOSSTONES"
329,"Nice Guys"
330,"DJ Ryan Brown and Cal Kehoe"
331,"Edo. G \FreEDOm Album Release / I Got To Have It D"
332,"Chris Moreno Live on the Patio"
333,"The World Is A Beautiful Place & I Am No Longer Af"
334,"Chris Botti"
335,"Different StrokeZ"
336,"Ronnie Burrage"
337,"The Othership"
338,"Livingston Taylor"
339,"Chris Koza"
340,"The Motherpluckers"
341,"Root Down"
342,"Liz Bills & The Change"
343,"Chris Miles"
344,"Liz Tobias"
345,"GQ"
346,"Chris Moreno"
347,"Loathe"
348,"Locals Only"
349,"The Naya Rockers"
350,"Roots & Branches"
351,"Chris Pureka"
352,"Long is the Walk"
353,"Grace Morrison"
354,"Roots of Creation"
355,"The Neighborhoods"
356,"Chris Taylor"
357,"Lori McKenna"
358,"Rose Cousins"
359,"Grand Central"
360,"The New Darkbuster"
361,"Christian Li Trio"
362,"Los Goutos"
363,"Rose Polenzani"
364,"Christmas Queens"
365,"Graneros"
366,"The Number Twelve Looks Like You"
367,"Grayscale"
368,"Chuckie"
369,"Ross Livermore"
370,"The Obsessed"
371,"Great News"
372,"Churchburn"
373,"Greed Island"
374,"CILLA BONNIE"
375,"Greg Jamie of O'Death"
376,"Greg Klyma"
377,"Grim Streaker"
378,"Cliff Eberhardt"
379,"Codd Dubz"
380,"Coffin Birth"
382,"Coffin Salesman"
383,"Cold Expectations"
384,"Loser's Circle"
385,"Coleman Survivors"
386,"Colm O?��brien"
387,"COMBAT!"
388,"Common Kings"
389,"Lost in Paris"
390,"Kal Marks"
391,"The Old Rochelle"
392,"Shook Twins"
393,"Jimmy & Marcelle"
394,"Rockin Bob hardcore matinee"
395,"MC Kabir & The Krush Faktory"
396,"The New Limits"
397,"Cry Cry Cry"
398,"Tom O'Carroll"
399,"RooFTops"
400,"Pat Foley Live on the Patio"
401,"Day Grazer"
402,"Ol Brown Shoe"
403,"Plini"
404,"Austin Mahone"
405,"PK and the Mighty Seven"
406,"Better Than Ezra"
407,"Jinty McGrath"
408,"Coping Skills"
409,"Sorry"
410,"Glass House"
411,"Cruel Miracle"
412,"Author & Punisher"
413,"Stephen Smith"
414,"Social Repose, Hotel Books, The Funeral Portrait"
415,"Adult Mom"
416,"The Sandmen (Morphine Tribute)"
418,"The Black Heart Procession"
419,"Cannibal Ox"
420,"Hans Zimmer"
421,"John Mulaney - Symphony Hall"
422,"Selector Dub Narcotic"
424,"Full Monty"
425,"Jay Psaros Live on the Patio"
426,"Tancred"
427,"Nacim Ortiz"
428,"The Deslondes"
429,"Lady Gaga"
430,"Aneurysm"
431,"Phaze1"
432,"Skinny Lister"
433,"Line Dancing"
434,"The Spill Canvas, Chase Huglin, Rival Colors"
435,"Wednesday 13, Eyes Set To Kill, Repulsar, Seven Sp"
436,"Compassion Fatigue"
437,"Defret"
438,"Cloakroom"
439,"Michael Carbonaro"
440,"OTP"
441,"Butterchild"
442,"Saint Etienne"
443,"JOHNNYSWIM"
444,"Whitney Cummings"
445,"Shoffy"
447,"The Blasters"
448,"Courage Cloak"
449,"Cody Johnson"
450,"Terry Brennan"
451,"The Moth: True Stories Told Live"
452,"Harry Styles"
453,"L.A. Witch"
454,"Mo Lowda & The Humble, Iron Eyes Cody"
455,"V?ɬ�gra, Urchin, Savageheads, Purgatory, Banshee"
456,"The Blue Hyenas"
458,"Dark City Bass"
459,"Sick Minds"
460,"Saved By The 90s"
461,"Wild Rivers"
462,"Settler"
463,"Mini Dresses"
464,"Ryan LaPerle"
465,"Vanna"
467,"Modern Baseball"
468,"PWR BTTM"
469,"NEEDTOBREATHE"
470,"Temporary Eyesore"
471,"DJ Kev 1"
472,"Daphne Blue Underworld"
473,"Be You Me"
474,"David Age & The Regrets"
475,"Bike Thiefs"
476,"Soulelujah"
477,"Idling"
478,"Colbis the Creature"
479,"Exit 17"
480,"Bundles"
481,"JesseJess"
482,"Bearly Dead"
483,"Inspectah Deck"
484,"Bring It! Live"
485,"Dead Rabbitts"
486,"Van Pelt Faraday"
487,"CupcakKe"
488,"David Corson"
489,"The American Who Sensation"
490,"American Aquarium"
491,"Terravita"
492,"Dirty Dancing"
493,"The Pump and Dump Show"
494,"The Cribs, The Paws, Dirty Bangs"
495,"Ryan Nichols"
496,"Hot Dub Time Machine: \Best. Party. Ever.\"
497,"Antennae Wedding"
498,"Ireland the Band"
499,"Brujeria"
500,"Everything And Everyone"
501,"Elisa Smith"
502,"Bag Raiders"
503,"Bat House"
504,"A Deer A Horse"
505,"Black Beach"
506,"Oxbow"
507,"Denzel Curry, Show Me the Body"
508,"Ivy Lab"
509,"XOX"
510,"The Bushwick Hotel"
511,"That 1 Guy"
512,"Eludis"
513,"Chestnut Grove"
514,"d'arcy"
515,"Random Rab"
516,"Moose Blood"
517,"DJ Backspin"
518,"Mr Ice"
519,"Plantrae"
520,"Mr. Kitty and The Rain Within"
521,"DizzyGotBands"
522,"Future Teens"
523,"Phil Dice"
524,"Skyfoot"
525,"Goose"
526,"Half Astronaut - Live music from 1- 3:30 PM during"
527,"Lee Ross"
528,"The Proletariat"
529,"Diamond City Blues"
530,"Badfellows"
531,"Bruce Cockburn"
532,"Wubson"
533,"What Gives"
534,"Yoko Miwa Trio"
537,"Shining Mirrors"
538,"Paul Broadnax Trio"
539,"Evolfo"
540,"Thaddeus Hogarth"
541,"Inns"
542,"John Baboian"
543,"Smoking Popes, Chris Farren"
544,"Dominique Eade"
545,"Strange Machines"
546,"Tim Ray Trio"
547,"North By North"
548,"Patrice Williamson"
549,"Doug Johnson Trio"
550,"Miette Hope"
552,"Malyna"
553,"Zealyn, Contact, Emilia Ali"
554,"Donna Byrne"
555,"Nite Jewel"
556,"Jerry Bergonzi Quartet"
557,"Michael Bernier Live on the Patio"
558,"Sonny Barbato Trio"
559,"Blu & Exile \Below The Heavens\ 10 Year Anniversar"
560,"Rebecca Cline Trio"
561,"Dandelion Massacre"
562,"Lance Martin!"
563,"Mason Turner"
564,"Creole Addiction"
565,"Diskino"
566,"FU's"
567,"No Static"
568,"Pura Vida!"
569,"Jelly Ellington"
571,"Miracle Sweepstakes"
572,"Oddysseys"
573,"Four on the Floor"
574,"Supershag!"
575,"YVNG PAVL"
577,"Hanna Noh Piano Quartet"
578,"Mei Ohara"
579,"Nate Aronow Nextet"
580,"Chelsey Carter EP Release Party"
582,"Angelo David"
583,"Quartet Davis"
584,"Mark Farina"
585,"BT ALC Big Band"
586,"The Rose Monarch"
587,"Ethan K Band"
588,"The Penske File"
589,"Kizomba"
591,"Lil Peep"
592,"John McLaughlin"
593,"Cam'ron"
594,"Zakk Sabbath (feat. Zakk Wylde, Blasko, and Joey C"
595,"JP Sears"
596,"Michael Hynes"
597,"Bon Voyage"
598,"Reks"
599,"Bruce Bartlett Trio"
600,"The Humanoids"
601,"Yoko Kowata"
602,"Alexei Tsiganov Trio"
604,"Kristina Koller"
605,"DJ Big Bear"
606,"Soul City"
607,"Yheti, DMVU, EASTGHOST, Toadface"
609,"Walker Lukens"
611,"Rich Chigga"
612,"Michael Blackson"
613,"Manduca Sexta"
614,"The Queers"
615,"Albino Mbie Quartet"
616,"XMORTIS Monster A Go Go"
618,"LVL UP"
619,"Donald."
620,"Live Music ̢?���� Fevah Dream"
621,"The Selecter"
622,"Colin Jost"
623,"Vere Hill"
624,"Cortez"
625,"Florist"
626,"Bellows"
627,"Will Hoge, Dan Layus (of Augustana), Frank Viele"
629,"The Manhattan Transfer"
630,"Lesser Glow"
631,"The Life Electric"
632,"Jim Coyle"
633,"Greg Luttrel"
634,"Joan Shelley"
635,"Red Tank"
636,"The Eddie Griffin Experience"
637,"Terrafunk"
638,"Adam Trent"
639,"Laureate"
640,"Heavy Petals"
641,"Girlpool"
642,"Downtown Boys"
643,"Jesse Royal"
644,"Young Jesus"
645,"Live Music ̢?���� Cover Me Badd"
646,"The Owens"
647,"PigPen Theatre Co."
649,"Jade Cicada"
650,"Legends of Summer"
651,"Kelela"
652,"John Mulaney - The Wilbur (SOLD OUT)"
653,"Slate Presents: Political Gabfest Conundrum Show"
654,"Gavin DeGraw RAW TOUR"
655,"Maria Bamford"
656,"Sinbad"
657,"Mystery Skulls"
658,"Live Music ̢?���� Hot Mess"
659,"Vanessa da Mata"
660,"Gasko"
662,"2Cellos"
663,"Carissa Johnson Tour Send Off"
664,"DeDe & the Jazz Cats - Live music from 1- 3:30 PM "
665,"DJ EVAREDY"
666,"Flight"
669,"Imelda May"
670,"Isley Brothers"
671,"Joe Biden"
672,"Land of Talk"
673,"Little Lamb"
674,"Munk Duane Band"
675,"Ozlo"
676,"DJ Knife!"
677,"Geno Gaudet Live on the Patio"
678,"Ritual Blade"
679,"Rotton Apple Alice in Chains Tribute"
680,"Treading Water"
681,"The Fab Faux"
682,"Daniel Skye"
683,"Blood, Sweat & Tears - 2018"
684,"David Ramirez: We're Not Going Anywhere Tour"
685,"The Upper Crust"
686,"Thou"
687,"Gorguts"
688,"Angus"
689,"Pleghm"
690,"Hellrazor"
691,"Elder"
692,"!!!"
693,"#WeAreHer"
